Player,G,TRB,AST,STL,BLK,TOV,PTS
KJ Martin,58,2.2,0.9,0.3,0.2,0.5,3.7
Jeff Dowtin,12,1.7,2.3,0.6,0.1,0.4,4.3
Jaden Springer,32,1.8,1.1,0.8,0.3,0.8,4.0
Danny Green,2,1.0,0.5,0.5,0.0,0.0,0.0
Ricky Council IV,32,1.4,0.5,0.3,0.0,0.2,5.4
Furkan Korkmaz,35,0.9,0.7,0.4,0.1,0.3,2.5
D.J. Wilson,2,1.0,1.0,0.0,1.0,0.0,5.0
Terquavion Smith,16,0.3,0.8,0.5,0.0,0.4,3.3
Kenneth Lofton Jr.,2,1.5,0.0,0.0,0.0,1.0,1.0
Darius Bazley,3,0.3,0.7,0.0,0.0,0.3,0.0
Filip Petrušev,1,1.0,0.0,0.0,0.0,0.0,0.0
Javonte Smart,1,0.0,0.0,0.0,0.0,0.0,0.0
Julius Randle,46,9.2,5.0,0.5,0.3,3.5,24.0
Jalen Brunson,77,3.6,6.7,0.9,0.2,2.4,28.7
OG Anunoby,23,4.4,1.5,1.7,1.0,1.7,14.1
Josh Hart,81,8.3,4.1,0.9,0.3,1.5,9.4
RJ Barrett,26,4.3,2.4,0.5,0.3,1.8,18.2
Donte DiVincenzo,81,3.7,2.7,1.3,0.4,1.4,15.5
Isaiah Hartenstein,75,8.3,2.5,1.2,1.1,1.2,7.8
Mitchell Robinson,31,8.5,0.6,1.2,1.1,0.8,5.6
Precious Achiuwa,49,7.2,1.1,0.6,1.1,1.1,7.6
Immanuel Quickley,30,2.6,2.5,0.5,0.1,1.0,15.0
Quentin Grimes,45,2.0,1.2,0.7,0.1,0.5,7.3
Miles McBride,68,1.5,1.7,0.7,0.1,0.4,8.3
Bojan Bogdanović,29,2.0,0.9,0.2,0.0,1.3,10.4
Alec Burks,23,1.7,0.9,0.3,0.0,0.7,6.5
Evan Fournier,3,1.3,1.0,1.3,0.0,0.3,4.0
Jericho Sims,45,3.3,0.6,0.2,0.4,0.4,2.0
Taj Gibson,16,1.8,0.6,0.1,0.4,0.3,1.0
Charlie Brown Jr.,8,0.3,0.0,0.0,0.3,0.3,0.8
Shake Milton,6,1.0,0.7,0.2,0.0,0.0,1.8
Malachi Flynn,14,0.4,0.4,0.1,0.0,0.2,2.2
Jacob Toppin,9,0.8,0.3,0.0,0.1,0.1,1.4
Mamadi Diakite,3,0.3,0.0,0.3,0.0,0.3,0.0
DaQuan Jeffries,17,0.3,0.3,0.0,0.1,0.2,0.8
Ryan Arcidiacono,20,0.4,0.2,0.1,0.0,0.1,0.0
Dylan Windler,3,0.3,0.3,0.0,0.0,0.0,1.0
Dmytro Skapintsev,2,0.0,0.0,0.0,0.0,0.0,0.0
Donovan Mitchell,55,5.1,6.1,1.8,0.5,2.8,26.6
Darius Garland,57,2.7,6.5,1.3,0.1,3.1,18.0
Max Strus,70,4.8,4.0,0.9,0.4,1.6,12.2
Jarrett Allen,77,10.5,2.7,0.7,1.1,1.6,16.5
